,index,Valore_max_mean,Valore_max_std,Data
193,193,30.461833333333335,1.4814314883028339,2020-07-12
194,194,30.883226190476186,2.5514557337435497,2020-07-13
195,195,29.15134523809524,2.4568850035719314,2020-07-14
196,196,28.693190476190477,3.3199224251926522,2020-07-15
197,197,29.467238095238095,0.6305483342409689,2020-07-16
198,198,31.23247893772894,1.4720092948315688,2020-07-17
199,199,31.83210531135531,2.220050030694296,2020-07-18
200,200,32.690580586080586,1.4621694779424108,2020-07-19
201,201,32.98320421245421,0.9537121937148387,2020-07-20
202,202,31.754402014652015,3.0167614685317514,2020-07-21
203,203,33.04600183150183,1.0822682620225723,2020-07-22
204,204,33.0766163003663,1.434745560518877,2020-07-23
205,205,31.448258241758243,3.5687757723821365,2020-07-24
206,206,32.80538736263736,2.5481810534698077,2020-07-25
207,207,32.004292124542125,2.6709840726987655,2020-07-26
208,208,31.251059523809523,1.4026360026074673,2020-07-27
209,209,31.40465476190476,1.9668010520283061,2020-07-28
210,210,33.13435714285714,0.7030030719427873,2020-07-29
211,211,33.42534523809523,1.883463709479507,2020-07-30
212,212,33.79909523809524,1.7314195380611985,2020-07-31
213,213,33.92761904761905,3.15051628062245,2020-08-01
214,214,32.65847619047619,3.203566418923367,2020-08-02
215,215,31.44761904761905,4.983573709307383,2020-08-03
216,216,31.171714285714284,5.710085198184139,2020-08-04
217,217,33.12228571428572,3.5681848666556473,2020-08-05
218,218,32.517714285714284,1.753997358804706,2020-08-06
219,219,31.604285714285716,2.157194207314809,2020-08-07
220,220,32.39904761904762,1.5855387433222696,2020-08-08
221,221,33.08709157509158,1.1155113970061539,2020-08-09
222,222,32.812776556776555,1.6008467839678842,2020-08-10
223,223,31.77511355311355,4.177507409579689,2020-08-11
224,224,32.11747985347985,2.137298190659661,2020-08-12
225,225,31.805750915750917,2.2546051149582444,2020-08-13
226,226,32.075978021978024,2.888151167106206,2020-08-14
227,227,32.526915750915755,2.471989062312087,2020-08-15
228,228,31.787868131868134,1.7294301960907381,2020-08-16
229,229,31.795619047619045,1.5401792383251363,2020-08-17
230,230,32.054857142857145,2.0010419734707816,2020-08-18
231,231,31.845304029304025,1.131314098670622,2020-08-19
232,232,31.890996336996334,1.5761061061814774,2020-08-20
233,233,32.58173626373626,1.9514370591494268,2020-08-21
234,234,32.290461538461535,2.0075668281186236,2020-08-22
235,235,31.18904761904762,2.0096937978203875,2020-08-23
236,236,31.381619047619047,1.5156832275441006,2020-08-24
237,237,29.966380952380952,3.378259047943384,2020-08-25
238,238,30.965714285714284,2.9737688243049685,2020-08-26
239,239,30.180285714285713,4.680155064586156,2020-08-27
240,240,29.18285714285714,2.944445653103764,2020-08-28
241,241,29.244461538461543,3.6225373161211207,2020-08-29
242,242,30.619904761904763,2.8013768561636656,2020-08-30
243,243,28.369333333333334,3.1697147628776516,2020-08-31
244,244,28.197238095238095,4.039277067622986,2020-09-01
245,245,25.240864468864466,4.561749407977041,2020-09-02
246,246,27.721047619047617,1.0797088189816935,2020-09-03
247,247,28.381809523809522,1.0596229167131028,2020-09-04
248,248,29.441809523809525,0.9702954058446185,2020-09-05
249,249,27.594,3.589468211423013,2020-09-06
250,250,27.278761904761904,2.363383552041217,2020-09-07
251,251,27.087142857142858,2.7007151358293924,2020-09-08
252,252,27.78247619047619,2.2192110454842036,2020-09-09
253,253,25.938380952380953,5.484136353333142,2020-09-10
254,254,28.480468864468868,2.331615647628093,2020-09-11
255,255,29.97576556776557,1.540888289811694,2020-09-12
256,256,29.605619047619047,3.012251295705709,2020-09-13
257,257,27.708928571428572,4.191581927640501,2020-09-14
258,258,27.259166666666665,4.370844390172977,2020-09-15
259,259,27.835964285714283,3.581797669773361,2020-09-16
260,260,28.316035714285714,3.628483724509539,2020-09-17
261,261,26.521809523809527,4.398791660508868,2020-09-18
262,262,24.800071428571428,2.741391912395406,2020-09-19
263,263,25.608956043956045,3.091971416242401,2020-09-20
264,264,25.536065934065935,3.0755667963634465,2020-09-21
265,265,24.196867216117216,3.605270065711241,2020-09-22
266,266,25.344190476190477,2.5841458761643166,2020-09-23
267,267,25.94240476190476,1.9748259854737829,2020-09-24
268,268,22.875595238095237,2.308555807815885,2020-09-25
269,269,21.76911904761905,2.3164770202070644,2020-09-26
270,270,23.70152380952381,2.1675324643767118,2020-09-27
271,271,25.51832142857143,1.9534551561768387,2020-09-28
272,272,25.170440476190475,2.382901417888555,2020-09-29
273,273,24.004464285714285,2.81154136156773,2020-09-30
274,274,21.17947619047619,4.145136874123147,2020-10-01
275,275,21.80594047619048,3.092194405629312,2020-10-02
276,276,21.25109523809524,1.4990592439193469,2020-10-03
277,277,20.910476190476192,2.3149094054747716,2020-10-04
278,278,21.373380952380952,2.1452485492055415,2020-10-05
279,279,20.577416666666664,2.5195214173484084,2020-10-06
280,280,22.83804761904762,1.1568474098623451,2020-10-07
281,281,22.786357142857142,1.750241462933451,2020-10-08
282,282,20.673238095238094,3.3828005411395123,2020-10-09
283,283,21.44591666666667,2.1612623844054726,2020-10-10
284,284,19.45189285714286,2.7857147538919014,2020-10-11
285,285,21.362666666666666,2.1799448078057786,2020-10-12
286,286,20.887104978354976,2.3837409550960196,2020-10-13
287,287,20.977646103896102,2.9748127488281897,2020-10-14
288,288,19.029724025974026,5.016724808505813,2020-10-15
289,289,21.210032467532468,3.112903676675754,2020-10-16
290,290,20.70636904761905,1.5881367290842567,2020-10-17
291,291,20.52708333333333,2.8205912366342636,2020-10-18
292,292,19.18916666666667,2.937140133309682,2020-10-19
293,293,18.682142857142857,3.3655479888579984,2020-10-20
294,294,17.536671245421246,1.945607898226731,2020-10-21
295,295,19.06484981684982,3.0404450783512504,2020-10-22
296,296,19.407619047619047,3.497002036406382,2020-10-23
297,297,20.50180586080586,5.03546521444989,2020-10-24
298,298,19.72530952380952,3.180192545850773,2020-10-25
299,299,18.666761904761906,3.4227100261200163,2020-10-26
300,300,19.693464285714285,3.5276634432188168,2020-10-27
301,301,18.568,1.0465358794321273,2020-10-28
302,302,17.488751748251747,1.4552607462627396,2020-10-29
303,303,16.90505402930403,2.926244354556868,2020-10-30
304,304,14.745142857142858,2.2262064017764973,2020-10-31
305,305,14.16784523809524,2.0418433355813126,2020-11-01
306,306,14.938880952380952,1.925948826003819,2020-11-02
307,307,14.957369047619048,3.1819567046231745,2020-11-03
308,308,16.467285714285715,1.0433735077353592,2020-11-04
309,309,16.22363095238095,2.0700186062417596,2020-11-05
310,310,14.90752380952381,3.419501999254057,2020-11-06
311,311,14.240666666666666,3.322950932905018,2020-11-07
312,312,13.79695238095238,3.6638093783653276,2020-11-08
313,313,14.649380952380952,2.9506779247182333,2020-11-09
314,314,14.218130952380951,1.3968713494932692,2020-11-10
315,315,12.252714285714287,2.1560448666760585,2020-11-11
316,316,13.252190476190474,3.223438372811036,2020-11-12
317,317,14.15947619047619,2.5036920153012026,2020-11-13
318,318,12.970583333333332,2.4088717122085774,2020-11-14
319,319,14.503190476190474,4.920558835305262,2020-11-15
320,320,13.231333333333334,1.8986063751605937,2020-11-16
321,321,12.230083333333335,2.4500389922680395,2020-11-17
322,322,11.800488095238096,2.806258829887781,2020-11-18
323,323,10.8925,2.95922664245721,2020-11-19
324,324,11.430702380952381,3.5084712312526105,2020-11-20
325,325,11.047202380952381,3.027553248776643,2020-11-21
326,326,11.156428571428572,0.9431560673329401,2020-11-22
327,327,11.97597619047619,1.8704657654459265,2020-11-23
328,328,11.854962454212453,1.625554933981211,2020-11-24
329,329,11.687321428571428,4.412596131952762,2020-11-25
330,330,12.16775,1.1356660170560353,2020-11-26
331,331,10.78759523809524,2.603580541386713,2020-11-27
332,332,9.770345238095237,3.0138938332535177,2020-11-28
333,333,9.044285714285714,2.6911153897252946,2020-11-29
334,334,9.36904761904762,2.1726618782470988,2020-11-30
335,335,7.649333333333334,0.7664361232782285,2020-12-01
336,336,7.363964285714286,2.8080286236567304,2020-12-02
337,337,8.938833333333333,3.3583485301220954,2020-12-03
338,338,8.328214285714285,4.681652164848472,2020-12-04
339,339,8.51954761904762,3.108699200167199,2020-12-05
340,340,8.6045,3.401237857812873,2020-12-06
341,341,9.001675824175823,2.146974477067952,2020-12-07
342,342,8.681174908424909,4.526403794895258,2020-12-08
343,343,8.756787545787546,3.432495511921199,2020-12-09
344,344,8.72984065934066,5.81213678237408,2020-12-10
345,345,7.315603479853481,4.254317498215557,2020-12-11
346,346,7.485138278388279,2.11232421823227,2020-12-12
347,347,8.025571428571428,2.54326863533405,2020-12-13
348,348,9.125166666666667,1.6128583985331202,2020-12-14
349,349,6.962952380952382,1.6989939800416267,2020-12-15
350,350,6.799511904761904,2.4018749144054343,2020-12-16
351,351,8.970416666666667,2.0496494164369796,2020-12-17
352,352,6.04517857142857,3.8055546682327606,2020-12-18
353,353,7.419261904761905,3.390120212301457,2020-12-19
354,354,8.269749999999998,3.221765292405403,2020-12-20
355,355,7.645416666666667,2.8733585259058234,2020-12-21
356,356,8.873345238095238,2.883662816518386,2020-12-22
357,357,9.012166666666667,4.847965156567965,2020-12-23
358,358,11.52325,4.614072682084801,2020-12-24
359,359,10.153095238095238,4.056226981353859,2020-12-25
360,360,7.423297619047619,3.300914767155969,2020-12-26
361,361,6.51477380952381,2.057277773525809,2020-12-27
362,362,7.929285714285714,3.6506075737603423,2020-12-28
363,363,7.58879761904762,3.516737762141225,2020-12-29
364,364,9.021690476190477,4.668641686355705,2020-12-30
365,365,8.140297619047619,2.7341839928427807,2020-12-31
