,month,day,press_mean,press_std,year,Data
65,3,6,999.3833333333333,12.291853670893849,2020,2020-03-06
66,3,7,1000.8000000000001,8.714355971613768,2020,2020-03-07
67,3,8,1006.4333333333334,4.725956693270319,2020,2020-03-08
68,3,9,1006.7166666666667,3.5198958317919513,2020,2020-03-09
69,3,10,1006.1,3.676955262170073,2020,2020-03-10
70,3,11,1006.6666666666666,4.155317877932689,2020,2020-03-11
71,3,12,1005.5500000000001,6.891661628373823,2020,2020-03-12
72,3,13,1005.0666666666666,4.730609544938859,2020,2020-03-13
73,3,14,1006.9166666666666,6.224923024959172,2020,2020-03-14
74,3,15,1006.3833333333333,7.386316177003715,2020,2020-03-15
75,3,16,1007.5500000000001,8.25415047112662,2020,2020-03-16
76,3,17,1006.6333333333333,11.085606283224505,2020,2020-03-17
77,3,18,1004.6,10.039721111664361,2020,2020-03-18
78,3,19,1006.0833333333334,8.230046577429999,2020,2020-03-19
79,3,20,1008.2333333333332,8.574535944683362,2020,2020-03-20
80,3,21,1008.15,9.258887622171448,2020,2020-03-21
81,3,22,1006.0333333333333,8.947103814456723,2020,2020-03-22
82,3,23,1006.5333333333333,12.11819568527701,2020,2020-03-23
83,3,24,1007.6333333333333,8.861753024467921,2020,2020-03-24
84,3,25,1006.3833333333333,5.9053930154280545,2020,2020-03-25
85,3,26,1008.4,4.446571713129127,2020,2020-03-26
86,3,27,1010.1833333333334,6.102922797042973,2020,2020-03-27
87,3,28,1010.0833333333334,8.624712555596691,2020,2020-03-28
88,3,29,1008.8333333333334,10.15493311975347,2020,2020-03-29
89,3,30,1008.0833333333334,8.017834287802865,2020,2020-03-30
90,3,31,1005.7833333333333,9.248225054931703,2020,2020-03-31
91,4,1,1004.4,5.549774770204678,2020,2020-04-01
92,4,2,1004.0,2.8565713714171705,2020,2020-04-02
93,4,3,1003.4499999999999,3.782459517298218,2020,2020-04-03
94,4,4,1003.2166666666667,7.513565509574426,2020,2020-04-04
95,4,5,1003.15,6.741142336429319,2020,2020-04-05
96,4,6,1002.85,7.805318699451061,2020,2020-04-06
97,4,7,1005.0666666666666,8.14387295251263,2020,2020-04-07
98,4,8,1004.7666666666668,9.931901462794894,2020,2020-04-08
99,4,9,1003.65,9.937957536637033,2020,2020-04-09
100,4,10,1002.9833333333332,6.992400636881913,2020,2020-04-10
101,4,11,1003.1999999999999,4.716778561687996,2020,2020-04-11
102,4,12,1002.6833333333334,3.660828685785078,2020,2020-04-12
103,4,13,1002.35,5.987570458875595,2020,2020-04-13
104,4,14,1004.0500000000001,7.257203318083369,2020,2020-04-14
105,4,15,1006.3166666666666,7.286265618728606,2020,2020-04-15
106,4,16,1004.2333333333332,6.539316987779903,2020,2020-04-16
107,4,17,1004.7833333333333,5.185139020958515,2020,2020-04-17
108,4,18,1006.3333333333334,7.248080205590052,2020,2020-04-18
109,4,19,1008.4,6.8908635162800715,2020,2020-04-19
110,4,20,1008.8000000000001,4.841900453334439,2020,2020-04-20
111,4,21,1008.4499999999999,3.7012160163924546,2020,2020-04-21
112,4,22,1004.4333333333334,2.7695968419007873,2020,2020-04-22
113,4,23,1001.8833333333333,6.507047461534831,2020,2020-04-23
114,4,24,1001.9,6.672930390765365,2020,2020-04-24
115,4,25,1000.65,4.943986245935548,2020,2020-04-25
116,4,26,998.5500000000001,4.111325820219057,2020,2020-04-26
117,4,27,998.85,4.41984162612188,2020,2020-04-27
118,4,28,998.9,2.9421080877493133,2020,2020-04-28
119,4,29,1000.8000000000001,4.5086583370221875,2020,2020-04-29
120,4,30,1000.1666666666666,2.3576824779148495,2020,2020-04-30
121,5,1,999.85,2.991153623604148,2020,2020-05-01
122,5,2,999.8833333333333,3.705356483075116,2020,2020-05-02
123,5,3,1001.2833333333333,4.617972137926631,2020,2020-05-03
124,5,4,1001.0500000000001,4.372985250375331,2020,2020-05-04
125,5,5,1001.0666666666666,4.294958284624712,2020,2020-05-05
126,5,6,1002.1,1.902629759044,2020,2020-05-06
127,5,7,1002.0,4.804581147196961,2020,2020-05-07
128,5,8,1001.3166666666666,4.888933080608358,2020,2020-05-08
129,5,9,999.8000000000001,4.9083602149801955,2020,2020-05-09
130,5,10,999.2666666666668,2.7398296784045977,2020,2020-05-10
131,5,11,997.8333333333334,4.552654903094082,2020,2020-05-11
132,5,12,996.3333333333334,6.552149774437904,2020,2020-05-12
133,5,13,997.1999999999999,7.601052558692132,2020,2020-05-13
134,5,14,998.7833333333333,7.003546720531422,2020,2020-05-14
135,5,15,1001.4499999999999,4.881700523383228,2020,2020-05-15
