,Data,NomeTipoSensore,Valore_interesse,Count_sensori,Indice testuale,Indice numerico
250,1996-02-20,Biossido di Azoto,104.84242424242422,33.0,Accettabile,3
251,1996-02-20,Biossido di Zolfo,33.01666666666666,30.0,Molto Buona,5
252,1996-02-20,Ozono,26.262499999999996,16.0,Molto Buona,5
253,1996-02-20,PM10 (SM2005),,,ND,0
254,1996-02-20,Particelle sospese PM2.5,,,ND,0
255,1996-02-21,Biossido di Azoto,104.93636363636364,33.0,Accettabile,3
256,1996-02-21,Biossido di Zolfo,21.730000000000004,30.0,Molto Buona,5
257,1996-02-21,Ozono,36.8375,16.0,Molto Buona,5
258,1996-02-21,PM10 (SM2005),,,ND,0
259,1996-02-21,Particelle sospese PM2.5,,,ND,0
260,1996-02-22,Biossido di Azoto,114.65454545454544,33.0,Accettabile,3
261,1996-02-22,Biossido di Zolfo,39.93999999999999,30.0,Molto Buona,5
262,1996-02-22,Ozono,38.8,16.0,Molto Buona,5
263,1996-02-22,PM10 (SM2005),,,ND,0
264,1996-02-22,Particelle sospese PM2.5,,,ND,0
265,1996-02-23,Biossido di Azoto,114.55757575757575,33.0,Accettabile,3
266,1996-02-23,Biossido di Zolfo,33.333333333333336,30.0,Molto Buona,5
267,1996-02-23,Ozono,40.94705882352941,17.0,Molto Buona,5
268,1996-02-23,PM10 (SM2005),,,ND,0
269,1996-02-23,Particelle sospese PM2.5,,,ND,0
270,1996-02-24,Biossido di Azoto,134.79999999999995,32.0,Accettabile,3
271,1996-02-24,Biossido di Zolfo,46.81000000000002,30.0,Molto Buona,5
272,1996-02-24,Ozono,44.64666666666666,15.0,Molto Buona,5
273,1996-02-24,PM10 (SM2005),,,ND,0
274,1996-02-24,Particelle sospese PM2.5,,,ND,0
275,1996-02-25,Biossido di Azoto,124.76250000000002,32.0,Accettabile,3
276,1996-02-25,Biossido di Zolfo,36.32333333333334,30.0,Molto Buona,5
277,1996-02-25,Ozono,18.693333333333335,15.0,Molto Buona,5
278,1996-02-25,PM10 (SM2005),,,ND,0
279,1996-02-25,Particelle sospese PM2.5,,,ND,0
280,1996-02-26,Biossido di Azoto,133.73125,32.0,Accettabile,3
281,1996-02-26,Biossido di Zolfo,44.373333333333335,30.0,Molto Buona,5
282,1996-02-26,Ozono,24.80666666666667,15.0,Molto Buona,5
283,1996-02-26,PM10 (SM2005),,,ND,0
284,1996-02-26,Particelle sospese PM2.5,,,ND,0
285,1996-02-27,Biossido di Azoto,153.746875,32.0,Accettabile,3
286,1996-02-27,Biossido di Zolfo,66.94,30.0,Molto Buona,5
287,1996-02-27,Ozono,34.54666666666666,15.0,Molto Buona,5
288,1996-02-27,PM10 (SM2005),,,ND,0
289,1996-02-27,Particelle sospese PM2.5,,,ND,0
290,1996-02-28,Biossido di Azoto,179.19062499999995,32.0,Accettabile,3
291,1996-02-28,Biossido di Zolfo,61.983333333333334,30.0,Molto Buona,5
292,1996-02-28,Ozono,37.940000000000005,15.0,Molto Buona,5
